tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
126N04287,HI-99,SOUTHBOUND,MAKALAPA DR/RADFORD DR,HI,HONOLULU,96860,21.35313,-157.93568,21.35244,-157.93554,0.048511,37.0,Pacific/Honolulu,P1.11,USA,87,3,N,3,89770,2,,5,99,4,9,,24700,603,188,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,12350,302,94
126+04513,BISHOP ST,WESTBOUND,S KING ST,HI,HONOLULU,96813,21.31036,-157.85898,21.30848,-157.86155,0.210393,1.0,Pacific/Honolulu,P1.11,USA,123,3,N,3,89770,1,,5,7505,6,1,,9454,420,234,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,5,9454,420,234
126+04514,BISHOP ST,WESTBOUND,HI-92/ALA MOANA BLVD,HI,HONOLULU,96813,21.30848,-157.86155,21.30707,-157.8636,0.164018,2.0,Pacific/Honolulu,P1.11,USA,123,3,N,3,89770,1,,5,7505,6,1,,5960,257,89,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,5,5960,257,89
126P04730,,I-H2/VETERANS MEMORIAL FWY NB,,HI,HONOLULU,96782,21.40029,-157.98753,21.40381,-157.98815,0.246789,1.0,Pacific/Honolulu,P4.0,USA,4729,2,N,1,89770,2,1,4,2,2,10,,86100,17502,449,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,43050,8751,225
126+50103,PUNAHOU ST,NORTHBOUND,NEHOA ST,HI,HONOLULU,96822,21.30292,-157.83256,21.3043,-157.83103,0.137072,5.5,Pacific/Honolulu,P1.11,USA,4834,4,N,3,89770,2,,6,7614,6,1,,15538,1057,533,1,2,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,7769,529,267
126N50160,MIDDLE ST,SOUTHBOUND,HAUMANA PL/NOTLEY ST,HI,HONOLULU,96819,21.3422,-157.87838,21.34157,-157.87925,0.071179,1.0,Pacific/Honolulu,P1.11,USA,50156,4,N,4,89770,2,,4,7414,6,1,,13666,280,76,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,6833,140,38
126P50220,HI-8930,NORTHBOUND,KAPOLEI PKWY,HI,HONOLULU,96707,21.33531,-158.05096,21.33624,-158.05137,0.070621,1.0,Pacific/Honolulu,P1.11,USA,50219,4,N,3,89770,2,,4,8930,4,1,,18400,2530,401,1,38,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,9200,1265,201
126P50222,HI-8930,NORTHBOUND,I-H1/QUEEN LILIUOKALANI FWY,HI,HONOLULU,96707,21.36528,-158.05895,21.36693,-158.06083,0.166296,4.0,Pacific/Honolulu,P1.11,USA,50219,4,N,3,89770,2,,4,8930,4,1,,23200,4430,704,1,67,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,11600,2215,352
126P04728,,I-H2/VETERANS MEMORIAL FWY NB,,HI,HONOLULU,96797,21.39715,-157.98562,21.40029,-157.98753,0.256742,1.0,Pacific/Honolulu,P4.0,USA,4727,2,N,1,89770,2,1,4,2,2,10,,86100,17502,449,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,43050,8751,225
126P04722,8A,I-H2/VETERANS MEMORIAL FWY NB,EXIT 8A,HI,HONOLULU,96797,21.39576,-157.98393,21.39715,-157.98562,0.146123,1.0,Pacific/Honolulu,P4.0,USA,4721,2,N,1,89770,2,,3,2,2,10,,86100,17502,449,1,81,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1.5,43050,8751,225
126N04099,I-H1,EASTBOUND,WAIALAE AVE (HONOLULU) (EAST),HI,HONOLULU,96816,21.27843,-157.79424,21.27878,-157.7892,0.331908,57.0,Pacific/Honolulu,P1.3,USA,65,2,N,1,89770,2,1,6,1,2,10,,39504,7761,268,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,19752,3881,134
126N04098,I-H1,EASTBOUND,KILAUEA AVE,HI,HONOLULU,96821,21.27824,-157.78396,21.27793,-157.78104,0.189196,59.0,Pacific/Honolulu,P1.3,USA,65,2,N,1,89770,2,1,6,1,2,10,,37400,7638,243,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,18700,3819,122
126P04130,I-H2,NORTHBOUND,KA UKA BLVD,HI,HONOLULU,96797,21.42482,-157.99543,21.4322,-157.99666,0.519389,2.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,,6,2,2,10,,86100,17502,449,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,43050,8751,225
126N04232,HI-72,SOUTHBOUND,HI-61/KALANIANAOLE HWY/KAILUA RD,HI,HONOLULU,96734,21.38085,-157.75616,21.38032,-157.75532,0.066026,1.0,Pacific/Honolulu,P1.11,USA,76,2,N,3,43669,2,,4,72,4,9,,16006,2805,240,1,99,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,8003,1403,120
126-04139,I-H3,WESTBOUND,MOKAPU SADDLE RD/MOKAPU BLVD,HI,HONOLULU,96734,21.42264,-157.76166,21.406660010054,-157.766019992757,1.156213,4.0,Pacific/Honolulu,P1.3,USA,67,4,N,1,43669,2,1,4,3,2,10,,10492,1286,111,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,5246,643,56
126-04138,I-H3,WESTBOUND,HI-83,HI,HONOLULU,96734,21.4034,-157.76839,21.38505,-157.78664,1.873826,6.0,Pacific/Honolulu,P1.3,USA,67,3,N,1,43669,2,1,4,3,2,10,,36764,912,134,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,18382,456,67
126P04136,I-H3,EASTBOUND,HI-78,HI,HONOLULU,96818,21.36961,-157.91879,21.37148,-157.91108,0.520445,2.0,Pacific/Honolulu,P1.3,USA,67,2,N,1,89770,2,,4,3,2,10,,46400,5665,346,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,23200,2833,173
126P04137,I-H3,EASTBOUND,HI-63,HI,HONOLULU,96744,21.39254,-157.8132,21.388850010409,-157.813280001278,0.25547,4.0,Pacific/Honolulu,P1.3,USA,67,2,N,1,43669,2,1,4,3,2,10,,25800,2897,194,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,12900,1449,97
126-04137,I-H3,WESTBOUND,HI-63,HI,HONOLULU,96744,21.383,-157.79336,21.392539989983,-157.812940000754,1.958385,8.0,Pacific/Honolulu,P1.3,USA,67,2,N,1,43669,2,1,4,3,2,10,,25800,2897,194,1,89,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,12900,1449,97
126-04136,I-H3,WESTBOUND,HI-78,HI,HONOLULU,96701,21.40523,-157.85092,21.37108,-157.91186,4.922574,10.0,Pacific/Honolulu,P1.3,USA,67,2,N,1,89770,2,1,4,3,2,10,,46400,5665,346,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,23200,2833,173
126P04138,I-H3,EASTBOUND,HI-83,HI,HONOLULU,96744,21.38232,-157.79389,21.38488,-157.78686,0.508418,6.0,Pacific/Honolulu,P1.3,USA,67,3,N,1,43669,2,1,4,3,2,10,,36800,913,135,1,79,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,18400,457,68
126P04131,I-H2,NORTHBOUND,MEHEULA PKWY,HI,HONOLULU,96789,21.46276,-157.99905,21.468539991141,-158.006629992483,0.642819,4.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,,5,2,2,10,,53594,9993,228,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,26797,4997,114
126P04132,I-H2,NORTHBOUND,LEILEHUA RD,HI,HONOLULU,96789,21.47579,-158.01874,21.48018998693,-158.024349995551,0.49453,6.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,,4,2,2,10,,54674,13555,194,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,27337,6778,97
126P04133,I-H2,NORTHBOUND,HI-99,HI,HONOLULU,96786,21.48195,-158.02476,21.485009991504,-158.025329998417,0.214537,8.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,,4,2,2,10,,54500,13602,192,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,27250,6801,96
126P04134,I-H2,NORTHBOUND,HI-80,HI,HONOLULU,96786,21.48782,-158.02617,21.49035,-158.03196,0.441316,10.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,1,4,2,2,10,,41026,9756,260,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,20513,4878,130
126-04131,I-H2,SOUTHBOUND,MEHEULA PKWY,HI,HONOLULU,96789,21.47643,-158.021,21.46981,-158.008,0.970842,7.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,1,4,2,2,10,,58281,12538,258,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,29141,6269,129
126-04130,I-H2,SOUTHBOUND,KA UKA BLVD,HI,HONOLULU,96789,21.46342,-158.0011,21.43444,-157.99627,2.433831,9.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,1,6,2,2,10,,87042,3175,210,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,43521,1588,105
126-04135,I-H3,WESTBOUND,I-H1,HI,HONOLULU,96818,21.37006,-157.91623,21.36982,-157.91917,0.19198,12.0,Pacific/Honolulu,P1.1,USA,67,2,N,1,89770,2,,4,3,2,10,,46400,5665,346,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,23200,2833,173
126P04139,I-H3,EASTBOUND,MOKAPU SADDLE RD/MOKAPU BLVD,HI,HONOLULU,96734,21.40444,-157.76737,21.40658,-157.76583,0.177945,8.0,Pacific/Honolulu,P1.3,USA,67,4,N,1,43669,2,1,4,3,2,10,,10500,1289,113,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,5250,645,57
126-04134,I-H2,SOUTHBOUND,HI-80,HI,HONOLULU,96786,21.48941,-158.03493,21.48993,-158.03307,0.124845,1.0,Pacific/Honolulu,P1.3,USA,66,2,N,2,89770,2,,4,99,4,9,,35000,39,9,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,17500,20,5
126-04133,I-H2,SOUTHBOUND,HI-99,HI,HONOLULU,96786,21.4898,-158.0286,21.4851,-158.02549,0.400419,3.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,1,4,2,2,10,,44693,12603,558,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,22347,6302,279
126-04132,I-H2,SOUTHBOUND,LEILEHUA RD,HI,HONOLULU,96786,21.48193,-158.02491,21.48013,-158.02454,0.126658,5.0,Pacific/Honolulu,P1.3,USA,66,2,N,1,89770,2,,4,2,2,10,,54500,13602,192,1,99,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,27250,6801,96
126N04227,HI-72,SOUTHBOUND,W HIND DR,HI,HONOLULU,96821,21.27789,-157.75509,21.27782,-157.75538,0.019284,6.5,Pacific/Honolulu,P1.11,USA,76,2,N,2,89770,2,,6,72,4,9,,71495,1448,196,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,35748,724,98
